,combined,total_occurrences,num_of_winners_or_forced_errors,percentage_of_winner,percentage_of_total_occurences_of_combination,percentage_of_overall_winner
953,l2t2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
952,u3b1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
951,s+1b;1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
950,m1o;3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
949,b2s+1,2,0,0.0,8.725242125468982e-05,0.0
948,b3i3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
947,h1l1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
946,m1z1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
945,f;1f+3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
944,b1h3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
943,f+2m3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
942,u+3s-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
941,b2u-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
940,h=2f+3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
957,v^3b-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
959,b+;3b1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
938,f1h1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
960,r3y+1,2,0,0.0,8.725242125468982e-05,0.0
977,v2j2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
976,u+3y-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
898,b;3z1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
975,z3z=1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
974,v2h3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
972,z^1f-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
971,f1m2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
970,v^3s-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
969,y1b-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
